X,NDX,AAPL,MSFT,NVDA,AMZN,GOOG
1/2/19,6360.870117,38.629097,98.860214,135.506561,1539.130005,1045.849976
1/3/19,6147.129883,34.781353,95.223351,127.319656,1500.280029,1016.059998
1/4/19,6422.669922,36.266144,99.652115,135.476715,1575.390015,1070.709961
1/7/19,6488.25,36.185429,99.779205,142.648941,1629.51001,1068.390015
1/8/19,6551.850098,36.875229,100.50267,139.097656,1656.579956,1076.280029
1/9/19,6600.689941,37.501434,101.939812,141.833252,1659.420044,1074.660034
1/10/19,6620.939941,37.6213,101.284798,144.469391,1656.219971,1070.329956
1/11/19,6601.399902,37.25193,100.50267,148.050507,1640.560059,1057.189941
1/14/19,6541.040039,36.691772,99.769432,149.652069,1617.209961,1044.689941
1/15/19,6669.640137,37.442734,102.663292,149.085068,1674.560059,1077.150024
1/16/19,6668.560059,37.900158,103.025009,148.060486,1683.780029,1080.969971
1/17/19,6718.450195,38.125195,103.748474,150.9254,1693.219971,1089.900024
1/18/19,6784.609863,38.360023,105.30294,156.108093,1696.199951,1098.26001
1/22/19,6646.810059,37.498989,103.318306,147.990829,1632.170044,1070.52002
1/23/19,6658.759766,37.65065,104.325279,148.508072,1640.02002,1075.569946
1/24/19,6702.549805,37.352219,103.826683,157.013306,1654.930054,1073.900024
1/25/19,6787.370117,38.589962,104.775009,159.311218,1670.569946,1090.98999
1/28/19,6697.089844,38.232826,102.73172,137.287201,1637.890015,1070.079956
1/29/19,6632.790039,37.836552,100.639549,130.910782,1593.880005,1060.619995
1/30/19,6807.910156,40.422104,104.00267,136.670441,1670.430054,1089.060059
1/31/19,6906.839844,40.713184,102.096245,142.997116,1718.72998,1116.369995
2/1/19,6875.52002,40.732758,100.483116,143.971985,1626.22998,1110.75
2/4/19,6959.959961,41.889771,103.376968,148.398666,1633.310059,1132.800049
2/5/19,7023.52002,42.606483,104.823891,149.164642,1658.810059,1145.98999
2/6/19,6997.620117,42.621162,103.660484,152.198669,1640.26001,1115.22998
2/7/19,6904.97998,41.813942,102.917473,146.647903,1614.369995,1098.709961
2/8/19,6913.129883,41.863079,103.308533,147.393982,1588.219971,1095.060059
2/11/19,6909.180176,41.622322,102.897911,145.682983,1591,1095.01001
2/12/19,7014.669922,41.980991,104.501274,150.37825,1638.01001,1121.369995
2/13/19,7015.879883,41.806568,104.42305,152.07933,1640,1120.160034
2/14/19,7022.419922,41.958885,104.51104,153.720657,1622.650024,1121.670044
2/15/19,7055.180176,41.865532,105.801544,156.515961,1607.949951,1113.650024
2/19/19,7066.609863,41.990814,105.752663,155.819626,1627.579956,1118.560059
2/20/19,7062.339844,42.261044,105.202843,157.719604,1622.099976,1113.800049
2/21/19,7035.160156,42.022755,107.421776,154.954178,1619.439941,1096.969971
2/22/19,7090.629883,42.491962,108.953415,158.356277,1631.560059,1110.369995
2/25/19,7115.430176,42.801495,109.562157,157.858887,1633,1109.400024
2/26/19,7123.220215,42.826061,110.318161,156.277206,1636.400024,1115.130005
2/27/19,7117,42.958721,110.131607,154.596054,1641.089966,1116.050049
2/28/19,7097.529785,42.536182,109.994156,153.610229,1639.829956,1119.920044
3/1/19,7151.569824,42.98328,110.485077,155.791,1671.72998,1140.98999
3/4/19,7150.830078,43.199471,110.219971,156.119614,1696.170044,1147.800049
3/5/19,7156.790039,43.120853,109.670143,155.860718,1692.430054,1162.030029
