Stocks,Weights
ATVI,0.005072660237212896
ADBE,0.02351787495059302
AMD,0.004077490332490719
ALXN,0.0
ALGN,0.0
GOOGL,0.08461150845323161
GOOG,0.0
AMZN,0.10298006055653121
AMGN,0.011170317044345901
ADI,0.0
ANSS,0.0
AAPL,0.10260045468095236
AMAT,0.006355213729891685
ASML,0.0
ADSK,0.005559196300469614
ADP,0.021950051383156644
BIDU,0.004017061574131707
BIIB,0.007319466827120291
BMRN,0.008051400402732778
BKNG,0.012007175362313617
AVGO,0.015172201916372101
CDNS,0.004910228113713799
CDW,0.0
CERN,0.0
CHTR,0.005699509870382453
CHKP,0.0
CTAS,0.0
CSCO,0.024964273694950096
CTXS,0.0
CTSH,0.0
CMCSA,0.027619525745804407
CPRT,0.0
COST,0.013121033034808962
CSX,0.012176952670059056
DXCM,0.0
DOCU,0.0
DLTR,0.006182527092101107
EBAY,0.0096014915406825
EA,0.0031198115925350853
EXC,0.005090640412223094
EXPE,0.0
FB,0.04830591245301386
FAST,0.0
FISV,0.0
GILD,0.012561968205066602
IDXX,0.0
ILMN,0.008077281843633833
INCY,0.0
INTC,0.031732347859219814
INTU,0.009066785155221647
ISRG,0.01127377031005377
JD,0.004911232119305996
KLAC,0.005965345556068286
KHC,0.005057474489695086
LRCX,0.0
LBTYA,0.0
LBTYK,0.005014187445186203
LULU,0.0027310659363879337
MAR,0.01005810028924835
MXIM,0.010547298586195044
MELI,0.0
MCHP,0.004598220118844807
MU,0.007763263233183695
MSFT,0.0952073476362066
MRNA,0.0
MDLZ,0.016822560754473734
MNST,0.0
NTES,0.0
NFLX,0.017123832960414406
NVDA,0.009367251095884127
NXPI,0.0
ORLY,0.0073071700797936266
PCAR,0.0
PAYX,0.012199439326854428
PYPL,0.018234689768477322
PEP,0.012641588872034556
PDD,0.0
QCOM,0.012649969143695657
REGN,0.008747570775262463
ROST,0.005542880317535958
SGEN,0.0
SIRI,0.0059094332867640565
SWKS,0.0
SPLK,0.0
SBUX,0.00881596877115602
SNPS,0.0
TMUS,0.009449515616779706
TTWO,0.0
TSLA,0.006476973569430563
TXN,0.016896018451475744
TCOM,0.0
ULTA,0.004372025420435038
VRSN,0.008900870839482003
VRSK,0.0
VRTX,0.009027725506807147
WBA,0.009694786687905159
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
