m Stocks,Total Absolute Deviation: 2020,Total Absolute Deviation: 2019
5,0.5913979244173763,0.4992586920546359
10,0.5489393288069655,0.2901370241328438
20,0.39684746426332296,0.156564101323896
30,0.30151583707439433,0.10886829750685842
40,0.28129529019417465,0.0785768870761838
50,0.2811952470210683,0.06490357277003231
60,0.2609145805291822,0.05282996625032465
70,0.2582824509170415,0.04855348831198331
80,0.24982845571532405,0.046996039503764325
90,0.24800932839637094,0.04674442910759569
100,0.24801322512053217,0.04674470074148799
